StopName,StopUID,Direction,RouteName,StopSequence,2020-6-22_0700,2020-6-22_0705,2020-6-22_0710,2020-6-22_0715,2020-6-22_0720,2020-6-22_0725,2020-6-22_0730,2020-6-22_0735,2020-6-22_0740,2020-6-22_0745,2020-6-22_0750,2020-6-22_0755,2020-6-22_0800,2020-6-22_0805,2020-6-22_0810,2020-6-22_0815,2020-6-22_0820,2020-6-22_0825,2020-6-22_0830,2020-6-22_0835,2020-6-22_0840,2020-6-22_0845,2020-6-22_0850,2020-6-22_0855,mean
中正環河路口,TPE38942,1,672,33,,,,,,,,,,,,,,,,,,,,,,,,,
捷運秀朗橋站,TPE38936,1,672,32,220.0,,284.0,284.0,284.0,284.0,284.0,284.0,,,,284.0,284.0,302.0,302.0,302.0,302.0,34.0,,302.0,302.0,302.0,302.0,,274.55555555555554
景平路景德街口,TPE38934,1,672,31,83.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,83.0,83.0,83.0,51.0,51.0,51.0,,,103.0,103.0,103.0,103.0,103.0,103.0,93.0909090909091
捷運景平站,TPE38933,1,672,30,73.0,83.0,83.0,83.0,83.0,83.0,83.0,,158.0,,167.0,167.0,167.0,128.0,128.0,128.0,128.0,136.0,136.0,136.0,136.0,136.0,24.0,135.0,117.31818181818181
南勢角(景平路),TPE142282,1,672,29,52.0,69.0,69.0,69.0,69.0,69.0,69.0,63.0,16.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,112.0,112.0,112.0,112.0,112.0,,64.0,71.26086956521739
智光商職,TPE38930,1,672,28,,80.0,80.0,80.0,80.0,80.0,80.0,73.0,120.0,62.0,62.0,62.0,62.0,83.0,83.0,,,83.0,83.0,83.0,83.0,83.0,55.0,55.0,76.76190476190476
中興二村,TPE38929,1,672,27,53.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,53.0,53.0,53.0,53.0,48.0,48.0,48.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.708333333333336
中興新村,TPE38928,1,672,26,42.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,49.0,49.0,49.0,49.0,50.0,50.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,50.0,50.0,52.34782608695652
得和路,TPE38927,1,672,25,108.0,118.0,118.0,118.0,118.0,118.0,,136.0,144.0,144.0,144.0,144.0,144.0,117.0,,,129.0,129.0,129.0,129.0,129.0,,117.0,117.0,127.5
秀朗國小,TPE38926,1,672,24,50.0,31.0,31.0,31.0,31.0,31.0,36.0,36.0,33.0,33.0,33.0,33.0,33.0,35.0,53.0,53.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,36.0,36.708333333333336
永元路,TPE38925,1,672,23,74.0,151.0,151.0,151.0,151.0,,108.0,108.0,108.0,108.0,108.0,108.0,108.0,116.0,146.0,163.0,163.0,163.0,163.0,163.0,163.0,96.0,96.0,96.0,128.7826086956522
福和橋(林森路),TPE38924,1,672,22,77.0,103.0,103.0,103.0,103.0,103.0,112.0,,114.0,114.0,114.0,114.0,114.0,,,128.0,128.0,128.0,128.0,128.0,128.0,102.0,102.0,102.0,111.80952380952381
