,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,1156,2020-06-22,07:54:53
1,信義新生路口,TPE38887,0,0,672,TPE10785,705,2020-06-22,07:54:53
2,南京龍江路口,TPE38894,0,0,672,TPE10785,454,2020-06-22,07:54:53
3,智光商職,TPE59122,3,0,672區,TPE16169,--,2020-06-22,07:54:53
4,捷運秀朗橋站,TPE59117,3,0,672區,TPE16169,--,2020-06-22,07:54:53
5,捷運公館站,TPE59129,3,0,672區,TPE16169,--,2020-06-22,07:54:53
6,捷運景平站,TPE59143,0,1,672區,TPE16169,1267,2020-06-22,07:54:53
7,博仁醫院,TPE38909,0,1,672,TPE10785,591,2020-06-22,07:54:53
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,598,2020-06-22,07:54:53
9,介壽國中,TPE38900,0,0,672,TPE10785,235,2020-06-22,07:54:53
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,738,2020-06-22,07:54:53
11,喬治商職,TPE38917,0,1,672,TPE10785,1301,2020-06-22,07:54:53
12,尖山腳,TPE191880,3,0,672區,TPE16169,--,2020-06-22,07:54:53
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,07:54:53
14,秀朗國小,TPE59136,0,1,672區,TPE16169,818,2020-06-22,07:54:53
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,803,2020-06-22,07:54:53
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,710,2020-06-22,07:54:53
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,265,2020-06-22,07:54:53
18,經建新村,TPE59121,3,0,672區,TPE16169,--,2020-06-22,07:54:53
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,07:54:53
20,南京新村,TPE38908,0,1,672,TPE10785,481,2020-06-22,07:54:53
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,193,2020-06-22,07:54:53
22,永元路,TPE59135,0,1,672區,TPE16169,728,2020-06-22,07:54:53
23,得和路,TPE38927,0,1,672,TPE10785,848,2020-06-22,07:54:53
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:54:53
25,得和路,TPE38872,0,0,672,TPE10785,230,2020-06-22,07:54:53
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,672,2020-06-22,07:54:53
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,1465,2020-06-22,07:54:53
28,中正環河路口,TPE59147,0,1,672區,TPE16169,1772,2020-06-22,07:54:53
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:54:53
30,秀朗國小,TPE38873,0,0,672,TPE10785,290,2020-06-22,07:54:53
31,捷運景平站,TPE38866,1,0,672,TPE10785,--,2020-06-22,07:54:53
32,福和橋(林森路),TPE59134,0,1,672區,TPE16169,625,2020-06-22,07:54:53
33,南勢角(景平路),TPE59141,0,1,672區,TPE16169,1163,2020-06-22,07:54:53
34,永元路,TPE59127,3,0,672區,TPE16169,--,2020-06-22,07:54:53
35,國父紀念館,TPE38912,0,1,672,TPE10785,947,2020-06-22,07:54:53
36,中興二村,TPE38929,0,1,672,TPE10785,1041,2020-06-22,07:54:53
37,和平高中,TPE38919,0,1,672,TPE10785,51,2020-06-22,07:54:53
38,長壽公園,TPE38906,0,1,672,TPE10785,379,2020-06-22,07:54:53
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,495,2020-06-22,07:54:53
40,捷運景平站,TPE59120,3,0,672區,TPE16169,--,2020-06-22,07:54:53
41,秀朗國小,TPE38926,0,1,672,TPE10785,815,2020-06-22,07:54:53
42,捷運秀朗橋站,TPE59146,0,1,672區,TPE16169,1453,2020-06-22,07:54:53
43,中正環河路口,TPE38857,1,0,672,TPE10785,--,2020-06-22,07:54:53
44,仁愛新生路口,TPE38888,0,0,672,TPE10785,848,2020-06-22,07:54:53
45,羅斯福金門街口,TPE38880,0,0,672,TPE10785,74,2020-06-22,07:54:53
46,智光商職,TPE59140,0,1,672區,TPE16169,1080,2020-06-22,07:54:53
47,公館,TPE59133,0,1,672區,TPE16169,315,2020-06-22,07:54:53
48,光華商場,TPE38890,0,0,672,TPE10785,120,2020-06-22,07:54:53
49,中正環河路口,TPE38942,0,1,672,TPE10785,1749,2020-06-22,07:54:53
50,得和路,TPE59125,3,0,672區,TPE16169,--,2020-06-22,07:54:53
51,福和橋(永元路),TPE59128,3,0,672區,TPE16169,--,2020-06-22,07:54:53
52,三軍總醫院松山分院,TPE38907,0,1,672,TPE10785,398,2020-06-22,07:54:53
53,市民住宅,TPE38913,0,1,672,TPE10785,1017,2020-06-22,07:54:53
54,長庚醫院,TPE38898,0,0,672,TPE10785,52,2020-06-22,07:54:53
55,三張犁,TPE38914,0,1,672,TPE10785,1072,2020-06-22,07:54:53
56,三民健康路口(西松高中),TPE38904,0,1,672,TPE10785,255,2020-06-22,07:54:53
57,公館,TPE38923,0,1,672,TPE10785,328,2020-06-22,07:54:53
58,中興新村,TPE38928,0,1,672,TPE10785,992,2020-06-22,07:54:53
59,臺灣科技大學,TPE59132,0,1,672區,TPE16169,274,2020-06-22,07:54:53
60,景平路景德街口,TPE38934,0,1,672,TPE10785,1382,2020-06-22,07:54:53
61,智光商職,TPE38869,1,0,672,TPE10785,--,2020-06-22,07:54:53
62,捷運公館站,TPE38876,0,0,672,TPE10785,457,2020-06-22,07:54:53
63,秀朗國小,TPE59126,3,0,672區,TPE16169,--,2020-06-22,07:54:53
64,中興二村,TPE38870,0,0,672,TPE10785,40,2020-06-22,07:54:53
65,基隆長興街口,TPE38920,0,1,672,TPE10785,161,2020-06-22,07:54:53
66,師大,TPE38883,0,0,672,TPE10785,331,2020-06-22,07:54:53
67,溫州街口,TPE38885,0,0,672,TPE10785,427,2020-06-22,07:54:53
68,長安東路二段,TPE38892,0,0,672,TPE10785,198,2020-06-22,07:54:53
69,南京建國路口,TPE38893,0,0,672,TPE10785,406,2020-06-22,07:54:53
70,中興新村,TPE38871,0,0,672,TPE10785,113,2020-06-22,07:54:53
71,捷運景平站,TPE38933,0,1,672,TPE10785,1215,2020-06-22,07:54:53
72,中興新村,TPE59138,0,1,672區,TPE16169,993,2020-06-22,07:54:53
73,南京敦化路口(小巨蛋),TPE38896,0,0,672,TPE10785,636,2020-06-22,07:54:53
74,羅斯福浦城街口,TPE38879,0,0,672,TPE10785,32,2020-06-22,07:54:53
75,臺大癌醫(基隆路),TPE59131,0,1,672區,TPE16169,250,2020-06-22,07:54:53
76,臺灣科技大學,TPE38922,0,1,672,TPE10785,235,2020-06-22,07:54:53
77,景平路景德街口,TPE59119,3,0,672區,TPE16169,--,2020-06-22,07:54:53
78,公教住宅,TPE38899,0,0,672,TPE10785,186,2020-06-22,07:54:53
79,金華新生路口,TPE38886,0,0,672,TPE10785,643,2020-06-22,07:54:53
80,景平路景德街口,TPE59144,0,1,672區,TPE16169,1344,2020-06-22,07:54:53
81,長安松江路口,TPE38891,0,0,672,TPE10785,166,2020-06-22,07:54:53
82,聯合二村,TPE38901,0,0,672,TPE10785,54,2020-06-22,07:54:53
83,永元路,TPE38925,0,1,672,TPE10785,707,2020-06-22,07:54:53
84,中興二村,TPE59139,0,1,672區,TPE16169,1035,2020-06-22,07:54:53
85,三興國小(臨江街觀光夜市),TPE38916,0,1,672,TPE10785,1259,2020-06-22,07:54:53
86,健康新城,TPE38905,0,1,672,TPE10785,332,2020-06-22,07:54:53
87,智光商職,TPE38930,0,1,672,TPE10785,1094,2020-06-22,07:54:53
88,光復南路口,TPE38915,0,1,672,TPE10785,1201,2020-06-22,07:54:53
89,民生社區活動中心,TPE38902,0,0,672,TPE10785,98,2020-06-22,07:54:53
90,基隆長興街口,TPE59130,0,1,672區,TPE16169,211,2020-06-22,07:54:53
91,中興新村,TPE59124,3,0,672區,TPE16169,--,2020-06-22,07:54:53
92,捷運忠孝新生站,TPE38889,0,0,672,TPE10785,905,2020-06-22,07:54:53
93,福和橋(林森路),TPE38924,0,1,672,TPE10785,593,2020-06-22,07:54:53
94,中興二村,TPE59123,3,0,672區,TPE16169,--,2020-06-22,07:54:53
95,師大綜合大樓,TPE38884,0,0,672,TPE10785,362,2020-06-22,07:54:53
96,永元路,TPE38874,0,0,672,TPE10785,440,2020-06-22,07:54:53
97,三民路,TPE38903,0,1,672,TPE10785,188,2020-06-22,07:54:53
98,經建新村,TPE38867,1,0,672,TPE10785,--,2020-06-22,07:54:53
99,得和路,TPE59137,0,1,672區,TPE16169,882,2020-06-22,07:54:53
100,捷運六張犁站(基隆路),TPE38918,0,1,672,TPE10785,1387,2020-06-22,07:54:53
101,台電大樓,TPE38877,0,0,672,TPE10785,580,2020-06-22,07:54:53
