,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,1558,2020-06-22,07:04:52
1,信義新生路口,TPE38887,0,0,672,TPE10785,451,2020-06-22,07:04:52
2,南京龍江路口,TPE38894,0,0,672,TPE10785,616,2020-06-22,07:04:52
3,智光商職,TPE59122,1,0,672區,TPE16169,1660,2020-06-22,07:04:52
4,捷運秀朗橋站,TPE59117,1,0,672區,TPE16169,1216,2020-06-22,07:04:52
5,捷運公館站,TPE59129,1,0,672區,TPE16169,2943,2020-06-22,07:04:52
6,捷運景平站,TPE59143,1,1,672區,TPE16169,4507,2020-06-22,07:04:52
7,博仁醫院,TPE38909,0,1,672,TPE10785,392,2020-06-22,07:04:52
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,730,2020-06-22,07:04:52
9,介壽國中,TPE38900,0,0,672,TPE10785,1119,2020-06-22,07:04:52
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,480,2020-06-22,07:04:52
11,喬治商職,TPE38917,0,1,672,TPE10785,176,2020-06-22,07:04:52
12,尖山腳,TPE191880,1,0,672區,TPE16169,1263,2020-06-22,07:04:52
13,中正環河路口,TPE59116,1,0,672區,TPE16169,964,2020-06-22,07:04:52
14,秀朗國小,TPE59136,1,1,672區,TPE16169,4058,2020-06-22,07:04:52
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,611,2020-06-22,07:04:52
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,886,2020-06-22,07:04:52
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,31,2020-06-22,07:04:52
18,經建新村,TPE59121,1,0,672區,TPE16169,1493,2020-06-22,07:04:52
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,07:04:52
20,南京新村,TPE38908,0,1,672,TPE10785,278,2020-06-22,07:04:52
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,594,2020-06-22,07:04:52
22,永元路,TPE59135,1,1,672區,TPE16169,3968,2020-06-22,07:04:52
23,得和路,TPE38927,0,1,672,TPE10785,1253,2020-06-22,07:04:52
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:04:52
25,得和路,TPE38872,0,0,672,TPE10785,375,2020-06-22,07:04:52
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,1440,2020-06-22,07:04:52
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,1815,2020-06-22,07:04:52
28,中正環河路口,TPE59147,1,1,672區,TPE16169,5012,2020-06-22,07:04:52
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:04:52
30,秀朗國小,TPE38873,0,0,672,TPE10785,433,2020-06-22,07:04:52
31,捷運景平站,TPE38866,1,0,672,TPE10785,--,2020-06-22,07:04:52
32,福和橋(林森路),TPE59134,1,1,672區,TPE16169,3865,2020-06-22,07:04:52
33,南勢角(景平路),TPE59141,1,1,672區,TPE16169,4403,2020-06-22,07:04:52
