,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,487,2020-06-22,07:24:52
1,信義新生路口,TPE38887,0,0,672,TPE10785,672,2020-06-22,07:24:52
2,南京龍江路口,TPE38894,0,0,672,TPE10785,1349,2020-06-22,07:24:52
3,智光商職,TPE59122,0,0,672區,TPE16169,444,2020-06-22,07:24:52
4,捷運秀朗橋站,TPE59117,0,0,672區,TPE16169,0,2020-06-22,07:24:52
5,捷運公館站,TPE59129,0,0,672區,TPE16169,1727,2020-06-22,07:24:52
6,捷運景平站,TPE59143,0,1,672區,TPE16169,3291,2020-06-22,07:24:52
7,博仁醫院,TPE38909,0,1,672,TPE10785,560,2020-06-22,07:24:52
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,153,2020-06-22,07:24:52
9,介壽國中,TPE38900,0,0,672,TPE10785,509,2020-06-22,07:24:52
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,713,2020-06-22,07:24:52
11,喬治商職,TPE38917,0,1,672,TPE10785,1270,2020-06-22,07:24:52
12,尖山腳,TPE191880,0,0,672區,TPE16169,47,2020-06-22,07:24:52
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,07:24:52
14,秀朗國小,TPE59136,0,1,672區,TPE16169,2842,2020-06-22,07:24:52
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,786,2020-06-22,07:24:52
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,232,2020-06-22,07:24:52
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,248,2020-06-22,07:24:52
18,經建新村,TPE59121,0,0,672區,TPE16169,277,2020-06-22,07:24:52
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,07:24:52
20,南京新村,TPE38908,0,1,672,TPE10785,450,2020-06-22,07:24:52
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,199,2020-06-22,07:24:52
22,永元路,TPE59135,0,1,672區,TPE16169,2752,2020-06-22,07:24:52
23,得和路,TPE38927,0,1,672,TPE10785,182,2020-06-22,07:24:52
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:24:52
25,得和路,TPE38872,0,0,672,TPE10785,409,2020-06-22,07:24:52
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,10,2020-06-22,07:24:52
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,744,2020-06-22,07:24:52
28,中正環河路口,TPE59147,0,1,672區,TPE16169,3796,2020-06-22,07:24:52
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:24:52
30,秀朗國小,TPE38873,0,0,672,TPE10785,470,2020-06-22,07:24:52
31,捷運景平站,TPE38866,1,0,672,TPE10785,--,2020-06-22,07:24:52
32,福和橋(林森路),TPE59134,0,1,672區,TPE16169,2649,2020-06-22,07:24:52
33,南勢角(景平路),TPE59141,0,1,672區,TPE16169,3187,2020-06-22,07:24:52
34,永元路,TPE59127,0,0,672區,TPE16169,975,2020-06-22,07:24:52
35,國父紀念館,TPE38912,0,1,672,TPE10785,930,2020-06-22,07:24:52
36,中興二村,TPE38929,0,1,672,TPE10785,347,2020-06-22,07:24:52
37,和平高中,TPE38919,0,1,672,TPE10785,1535,2020-06-22,07:24:52
38,長壽公園,TPE38906,0,1,672,TPE10785,349,2020-06-22,07:24:52
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,0,2020-06-22,07:24:52
40,捷運景平站,TPE59120,0,0,672區,TPE16169,205,2020-06-22,07:24:52
41,秀朗國小,TPE38926,0,1,672,TPE10785,151,2020-06-22,07:24:52
42,捷運秀朗橋站,TPE59146,0,1,672區,TPE16169,3477,2020-06-22,07:24:52
43,中正環河路口,TPE38857,1,0,672,TPE10785,--,2020-06-22,07:24:52
44,仁愛新生路口,TPE38888,0,0,672,TPE10785,838,2020-06-22,07:24:52
45,羅斯福金門街口,TPE38880,0,0,672,TPE10785,81,2020-06-22,07:24:52
46,智光商職,TPE59140,0,1,672區,TPE16169,3104,2020-06-22,07:24:52
47,公館,TPE59133,0,1,672區,TPE16169,2339,2020-06-22,07:24:52
48,光華商場,TPE38890,0,0,672,TPE10785,1014,2020-06-22,07:24:52
49,中正環河路口,TPE38942,0,1,672,TPE10785,1028,2020-06-22,07:24:52
50,得和路,TPE59125,0,0,672區,TPE16169,732,2020-06-22,07:24:52
51,福和橋(永元路),TPE59128,0,0,672區,TPE16169,1190,2020-06-22,07:24:52
52,三軍總醫院松山分院,TPE38907,0,1,672,TPE10785,367,2020-06-22,07:24:52
53,市民住宅,TPE38913,0,1,672,TPE10785,1000,2020-06-22,07:24:52
54,長庚醫院,TPE38898,0,0,672,TPE10785,282,2020-06-22,07:24:52
55,三張犁,TPE38914,0,1,672,TPE10785,1055,2020-06-22,07:24:52
56,三民健康路口(西松高中),TPE38904,0,1,672,TPE10785,239,2020-06-22,07:24:52
57,公館,TPE38923,0,1,672,TPE10785,304,2020-06-22,07:24:52
58,中興新村,TPE38928,0,1,672,TPE10785,300,2020-06-22,07:24:52
59,臺灣科技大學,TPE59132,0,1,672區,TPE16169,2298,2020-06-22,07:24:52
60,景平路景德街口,TPE38934,0,1,672,TPE10785,639,2020-06-22,07:24:52
61,智光商職,TPE38869,0,0,672,TPE10785,137,2020-06-22,07:24:52
62,捷運公館站,TPE38876,0,0,672,TPE10785,582,2020-06-22,07:24:52
63,秀朗國小,TPE59126,0,0,672區,TPE16169,834,2020-06-22,07:24:52
64,中興二村,TPE38870,0,0,672,TPE10785,180,2020-06-22,07:24:52
65,基隆長興街口,TPE38920,0,1,672,TPE10785,161,2020-06-22,07:24:52
66,師大,TPE38883,0,0,672,TPE10785,304,2020-06-22,07:24:52
67,溫州街口,TPE38885,0,0,672,TPE10785,401,2020-06-22,07:24:52
