,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,232,2020-06-22,08:09:54
1,信義新生路口,TPE38887,0,0,672,TPE10785,0,2020-06-22,08:09:54
2,南京龍江路口,TPE38894,0,0,672,TPE10785,715,2020-06-22,08:09:54
3,智光商職,TPE59122,3,0,672區,TPE16169,--,2020-06-22,08:09:54
4,捷運秀朗橋站,TPE59117,3,0,672區,TPE16169,--,2020-06-22,08:09:54
5,捷運公館站,TPE59129,3,0,672區,TPE16169,--,2020-06-22,08:09:54
6,捷運景平站,TPE59143,0,1,672區,TPE16169,491,2020-06-22,08:09:54
7,博仁醫院,TPE38909,0,1,672,TPE10785,0,2020-06-22,08:09:54
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,585,2020-06-22,08:09:54
9,介壽國中,TPE38900,0,0,672,TPE10785,331,2020-06-22,08:09:54
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,144,2020-06-22,08:09:54
11,喬治商職,TPE38917,0,1,672,TPE10785,773,2020-06-22,08:09:54
12,尖山腳,TPE191880,3,0,672區,TPE16169,--,2020-06-22,08:09:54
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,08:09:54
14,秀朗國小,TPE59136,0,1,672區,TPE16169,0,2020-06-22,08:09:54
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,74,2020-06-22,08:09:54
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,1030,2020-06-22,08:09:54
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,378,2020-06-22,08:09:54
18,經建新村,TPE59121,3,0,672區,TPE16169,--,2020-06-22,08:09:54
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,08:09:54
20,南京新村,TPE38908,0,1,672,TPE10785,883,2020-06-22,08:09:54
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,1312,2020-06-22,08:09:54
22,永元路,TPE59135,3,1,672區,TPE16169,--,2020-06-22,08:09:54
23,得和路,TPE38927,0,1,672,TPE10785,336,2020-06-22,08:09:54
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,08:09:54
25,得和路,TPE38872,0,0,672,TPE10785,292,2020-06-22,08:09:54
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,127,2020-06-22,08:09:54
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,470,2020-06-22,08:09:54
28,中正環河路口,TPE59147,0,1,672區,TPE16169,1078,2020-06-22,08:09:54
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,08:09:54
30,秀朗國小,TPE38873,0,0,672,TPE10785,356,2020-06-22,08:09:54
