,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,1296,2020-06-22,07:09:54
1,信義新生路口,TPE38887,0,0,672,TPE10785,250,2020-06-22,07:09:54
2,南京龍江路口,TPE38894,0,0,672,TPE10785,284,2020-06-22,07:09:54
3,智光商職,TPE59122,1,0,672區,TPE16169,1360,2020-06-22,07:09:54
4,捷運秀朗橋站,TPE59117,1,0,672區,TPE16169,916,2020-06-22,07:09:54
5,捷運公館站,TPE59129,1,0,672區,TPE16169,2643,2020-06-22,07:09:54
6,捷運景平站,TPE59143,1,1,672區,TPE16169,4207,2020-06-22,07:09:54
7,博仁醫院,TPE38909,0,1,672,TPE10785,1347,2020-06-22,07:09:54
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,472,2020-06-22,07:09:54
9,介壽國中,TPE38900,0,0,672,TPE10785,787,2020-06-22,07:09:54
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,88,2020-06-22,07:09:54
11,喬治商職,TPE38917,0,1,672,TPE10785,732,2020-06-22,07:09:54
12,尖山腳,TPE191880,1,0,672區,TPE16169,963,2020-06-22,07:09:54
13,中正環河路口,TPE59116,1,0,672區,TPE16169,664,2020-06-22,07:09:54
14,秀朗國小,TPE59136,1,1,672區,TPE16169,3758,2020-06-22,07:09:54
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,219,2020-06-22,07:09:54
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,554,2020-06-22,07:09:54
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,1420,2020-06-22,07:09:54
18,經建新村,TPE59121,1,0,672區,TPE16169,1193,2020-06-22,07:09:54
19,景平路景德街口,TPE38865,0,0,672,TPE10785,0,2020-06-22,07:09:54
20,南京新村,TPE38908,0,1,672,TPE10785,1237,2020-06-22,07:09:54
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,332,2020-06-22,07:09:54
22,永元路,TPE59135,1,1,672區,TPE16169,3668,2020-06-22,07:09:54
23,得和路,TPE38927,0,1,672,TPE10785,991,2020-06-22,07:09:54
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:09:54
25,得和路,TPE38872,0,0,672,TPE10785,117,2020-06-22,07:09:54
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,1182,2020-06-22,07:09:54
