,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,460,2020-06-22,07:34:53
1,信義新生路口,TPE38887,0,0,672,TPE10785,120,2020-06-22,07:34:53
2,南京龍江路口,TPE38894,0,0,672,TPE10785,797,2020-06-22,07:34:53
3,智光商職,TPE59122,3,0,672區,TPE16169,--,2020-06-22,07:34:53
4,捷運秀朗橋站,TPE59117,3,0,672區,TPE16169,--,2020-06-22,07:34:53
5,捷運公館站,TPE59129,0,0,672區,TPE16169,893,2020-06-22,07:34:53
6,捷運景平站,TPE59143,0,1,672區,TPE16169,2457,2020-06-22,07:34:53
7,博仁醫院,TPE38909,0,1,672,TPE10785,193,2020-06-22,07:34:53
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,265,2020-06-22,07:34:53
9,介壽國中,TPE38900,0,0,672,TPE10785,1308,2020-06-22,07:34:53
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,346,2020-06-22,07:34:53
11,喬治商職,TPE38917,0,1,672,TPE10785,903,2020-06-22,07:34:53
12,尖山腳,TPE191880,3,0,672區,TPE16169,--,2020-06-22,07:34:53
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,07:34:53
14,秀朗國小,TPE59136,0,1,672區,TPE16169,2008,2020-06-22,07:34:53
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,419,2020-06-22,07:34:53
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,1073,2020-06-22,07:34:53
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,436,2020-06-22,07:34:53
18,經建新村,TPE59121,3,0,672區,TPE16169,--,2020-06-22,07:34:53
19,景平路景德街口,TPE38865,0,0,672,TPE10785,83,2020-06-22,07:34:53
20,南京新村,TPE38908,0,1,672,TPE10785,83,2020-06-22,07:34:53
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,1361,2020-06-22,07:34:53
22,永元路,TPE59135,0,1,672區,TPE16169,1918,2020-06-22,07:34:53
23,得和路,TPE38927,0,1,672,TPE10785,144,2020-06-22,07:34:53
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:34:53
25,得和路,TPE38872,0,0,672,TPE10785,818,2020-06-22,07:34:53
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,208,2020-06-22,07:34:53
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,188,2020-06-22,07:34:53
28,中正環河路口,TPE59147,0,1,672區,TPE16169,2962,2020-06-22,07:34:53
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:34:53
30,秀朗國小,TPE38873,0,0,672,TPE10785,0,2020-06-22,07:34:53
31,捷運景平站,TPE38866,0,0,672,TPE10785,182,2020-06-22,07:34:53
32,福和橋(林森路),TPE59134,0,1,672區,TPE16169,1815,2020-06-22,07:34:53
33,南勢角(景平路),TPE59141,0,1,672區,TPE16169,2353,2020-06-22,07:34:53
34,永元路,TPE59127,0,0,672區,TPE16169,141,2020-06-22,07:34:53
35,國父紀念館,TPE38912,0,1,672,TPE10785,563,2020-06-22,07:34:53
36,中興二村,TPE38929,0,1,672,TPE10785,327,2020-06-22,07:34:53
37,和平高中,TPE38919,0,1,672,TPE10785,1168,2020-06-22,07:34:53
38,長壽公園,TPE38906,0,1,672,TPE10785,159,2020-06-22,07:34:53
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,841,2020-06-22,07:34:53
40,捷運景平站,TPE59120,3,0,672區,TPE16169,--,2020-06-22,07:34:53
