,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,1520,2020-06-22,07:49:52
1,信義新生路口,TPE38887,0,0,672,TPE10785,0,2020-06-22,07:49:52
2,南京龍江路口,TPE38894,0,0,672,TPE10785,684,2020-06-22,07:49:52
3,智光商職,TPE59122,3,0,672區,TPE16169,--,2020-06-22,07:49:52
4,捷運秀朗橋站,TPE59117,3,0,672區,TPE16169,--,2020-06-22,07:49:52
5,捷運公館站,TPE59129,3,0,672區,TPE16169,--,2020-06-22,07:49:52
6,捷運景平站,TPE59143,0,1,672區,TPE16169,1564,2020-06-22,07:49:52
7,博仁醫院,TPE38909,0,1,672,TPE10785,774,2020-06-22,07:49:52
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,180,2020-06-22,07:49:52
9,介壽國中,TPE38900,0,0,672,TPE10785,183,2020-06-22,07:49:52
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,921,2020-06-22,07:49:52
11,喬治商職,TPE38917,0,1,672,TPE10785,99,2020-06-22,07:49:52
12,尖山腳,TPE191880,3,0,672區,TPE16169,--,2020-06-22,07:49:52
13,中正環河路口,TPE59116,3,0,672區,TPE16169,--,2020-06-22,07:49:52
14,秀朗國小,TPE59136,0,1,672區,TPE16169,1115,2020-06-22,07:49:52
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,986,2020-06-22,07:49:52
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,231,2020-06-22,07:49:52
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,474,2020-06-22,07:49:52
18,經建新村,TPE59121,3,0,672區,TPE16169,--,2020-06-22,07:49:52
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,07:49:52
20,南京新村,TPE38908,0,1,672,TPE10785,664,2020-06-22,07:49:52
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,557,2020-06-22,07:49:52
22,永元路,TPE59135,0,1,672區,TPE16169,1025,2020-06-22,07:49:52
23,得和路,TPE38927,0,1,672,TPE10785,1212,2020-06-22,07:49:52
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:49:52
25,得和路,TPE38872,0,0,672,TPE10785,427,2020-06-22,07:49:52
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,209,2020-06-22,07:49:52
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,1829,2020-06-22,07:49:52
28,中正環河路口,TPE59147,0,1,672區,TPE16169,2069,2020-06-22,07:49:52
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:49:52
30,秀朗國小,TPE38873,0,0,672,TPE10785,487,2020-06-22,07:49:52
31,捷運景平站,TPE38866,1,0,672,TPE10785,--,2020-06-22,07:49:52
32,福和橋(林森路),TPE59134,0,1,672區,TPE16169,922,2020-06-22,07:49:52
33,南勢角(景平路),TPE59141,0,1,672區,TPE16169,1460,2020-06-22,07:49:52
34,永元路,TPE59127,3,0,672區,TPE16169,--,2020-06-22,07:49:52
35,國父紀念館,TPE38912,0,1,672,TPE10785,1130,2020-06-22,07:49:52
36,中興二村,TPE38929,0,1,672,TPE10785,1405,2020-06-22,07:49:52
37,和平高中,TPE38919,0,1,672,TPE10785,364,2020-06-22,07:49:52
38,長壽公園,TPE38906,0,1,672,TPE10785,562,2020-06-22,07:49:52
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,725,2020-06-22,07:49:52
40,捷運景平站,TPE59120,3,0,672區,TPE16169,--,2020-06-22,07:49:52
41,秀朗國小,TPE38926,0,1,672,TPE10785,1179,2020-06-22,07:49:52
42,捷運秀朗橋站,TPE59146,0,1,672區,TPE16169,1750,2020-06-22,07:49:52
43,中正環河路口,TPE38857,1,0,672,TPE10785,--,2020-06-22,07:49:52
44,仁愛新生路口,TPE38888,0,0,672,TPE10785,173,2020-06-22,07:49:52
45,羅斯福金門街口,TPE38880,0,0,672,TPE10785,283,2020-06-22,07:49:52
46,智光商職,TPE59140,0,1,672區,TPE16169,1377,2020-06-22,07:49:52
47,公館,TPE59133,0,1,672區,TPE16169,612,2020-06-22,07:49:52
48,光華商場,TPE38890,0,0,672,TPE10785,350,2020-06-22,07:49:52
49,中正環河路口,TPE38942,0,1,672,TPE10785,190,2020-06-22,07:49:52
50,得和路,TPE59125,3,0,672區,TPE16169,--,2020-06-22,07:49:52
51,福和橋(永元路),TPE59128,3,0,672區,TPE16169,--,2020-06-22,07:49:52
52,三軍總醫院松山分院,TPE38907,0,1,672,TPE10785,581,2020-06-22,07:49:52
53,市民住宅,TPE38913,0,1,672,TPE10785,1200,2020-06-22,07:49:52
54,長庚醫院,TPE38898,0,0,672,TPE10785,0,2020-06-22,07:49:52
55,三張犁,TPE38914,0,1,672,TPE10785,1255,2020-06-22,07:49:52
56,三民健康路口(西松高中),TPE38904,0,1,672,TPE10785,438,2020-06-22,07:49:52
57,公館,TPE38923,0,1,672,TPE10785,692,2020-06-22,07:49:52
58,中興新村,TPE38928,0,1,672,TPE10785,1356,2020-06-22,07:49:52
59,臺灣科技大學,TPE59132,0,1,672區,TPE16169,571,2020-06-22,07:49:52
60,景平路景德街口,TPE38934,0,1,672,TPE10785,1746,2020-06-22,07:49:52
61,智光商職,TPE38869,0,0,672,TPE10785,197,2020-06-22,07:49:52
62,捷運公館站,TPE38876,0,0,672,TPE10785,637,2020-06-22,07:49:52
63,秀朗國小,TPE59126,3,0,672區,TPE16169,--,2020-06-22,07:49:52
64,中興二村,TPE38870,0,0,672,TPE10785,237,2020-06-22,07:49:52
65,基隆長興街口,TPE38920,0,1,672,TPE10785,525,2020-06-22,07:49:52
66,師大,TPE38883,0,0,672,TPE10785,540,2020-06-22,07:49:52
67,溫州街口,TPE38885,0,0,672,TPE10785,636,2020-06-22,07:49:52
68,長安東路二段,TPE38892,0,0,672,TPE10785,428,2020-06-22,07:49:52
69,南京建國路口,TPE38893,0,0,672,TPE10785,636,2020-06-22,07:49:52
70,中興新村,TPE38871,0,0,672,TPE10785,310,2020-06-22,07:49:52
71,捷運景平站,TPE38933,0,1,672,TPE10785,1579,2020-06-22,07:49:52
72,中興新村,TPE59138,0,1,672區,TPE16169,1290,2020-06-22,07:49:52
73,南京敦化路口(小巨蛋),TPE38896,0,0,672,TPE10785,143,2020-06-22,07:49:52
74,羅斯福浦城街口,TPE38879,0,0,672,TPE10785,241,2020-06-22,07:49:52
75,臺大癌醫(基隆路),TPE59131,0,1,672區,TPE16169,547,2020-06-22,07:49:52
76,臺灣科技大學,TPE38922,0,1,672,TPE10785,599,2020-06-22,07:49:52
77,景平路景德街口,TPE59119,3,0,672區,TPE16169,--,2020-06-22,07:49:52
78,公教住宅,TPE38899,0,0,672,TPE10785,134,2020-06-22,07:49:52
79,金華新生路口,TPE38886,0,0,672,TPE10785,852,2020-06-22,07:49:52
80,景平路景德街口,TPE59144,0,1,672區,TPE16169,1641,2020-06-22,07:49:52
81,長安松江路口,TPE38891,0,0,672,TPE10785,396,2020-06-22,07:49:52
82,聯合二村,TPE38901,0,0,672,TPE10785,237,2020-06-22,07:49:52
83,永元路,TPE38925,0,1,672,TPE10785,1071,2020-06-22,07:49:52
84,中興二村,TPE59139,0,1,672區,TPE16169,1332,2020-06-22,07:49:52
85,三興國小(臨江街觀光夜市),TPE38916,0,1,672,TPE10785,64,2020-06-22,07:49:52
86,健康新城,TPE38905,0,1,672,TPE10785,515,2020-06-22,07:49:52
87,智光商職,TPE38930,0,1,672,TPE10785,1458,2020-06-22,07:49:52
88,光復南路口,TPE38915,0,1,672,TPE10785,1384,2020-06-22,07:49:52
89,民生社區活動中心,TPE38902,0,0,672,TPE10785,281,2020-06-22,07:49:52
90,基隆長興街口,TPE59130,0,1,672區,TPE16169,508,2020-06-22,07:49:52
91,中興新村,TPE59124,3,0,672區,TPE16169,--,2020-06-22,07:49:52
92,捷運忠孝新生站,TPE38889,0,0,672,TPE10785,230,2020-06-22,07:49:52
93,福和橋(林森路),TPE38924,0,1,672,TPE10785,957,2020-06-22,07:49:52
94,中興二村,TPE59123,3,0,672區,TPE16169,--,2020-06-22,07:49:52
95,師大綜合大樓,TPE38884,0,0,672,TPE10785,571,2020-06-22,07:49:52
96,永元路,TPE38874,0,0,672,TPE10785,22,2020-06-22,07:49:52
97,三民路,TPE38903,0,1,672,TPE10785,371,2020-06-22,07:49:52
98,經建新村,TPE38867,1,0,672,TPE10785,--,2020-06-22,07:49:52
99,得和路,TPE59137,0,1,672區,TPE16169,1179,2020-06-22,07:49:52
100,捷運六張犁站(基隆路),TPE38918,0,1,672,TPE10785,198,2020-06-22,07:49:52
101,台電大樓,TPE38877,0,0,672,TPE10785,101,2020-06-22,07:49:52
