,StopName,StopUID,StopStatus,Direction,RouteName,RouteUID,EstimateTime(Sec),UpdateDate,UpdateTime
0,南勢角(景平路),TPE142282,0,1,672,TPE10785,1037,2020-06-22,07:14:56
1,信義新生路口,TPE38887,0,0,672,TPE10785,1530,2020-06-22,07:14:56
2,南京龍江路口,TPE38894,0,0,672,TPE10785,590,2020-06-22,07:14:56
3,智光商職,TPE59122,1,0,672區,TPE16169,1059,2020-06-22,07:14:56
4,捷運秀朗橋站,TPE59117,1,0,672區,TPE16169,615,2020-06-22,07:14:56
5,捷運公館站,TPE59129,1,0,672區,TPE16169,2342,2020-06-22,07:14:56
6,捷運景平站,TPE59143,1,1,672區,TPE16169,3906,2020-06-22,07:14:56
7,博仁醫院,TPE38909,0,1,672,TPE10785,1063,2020-06-22,07:14:56
8,福和橋(永元路),TPE38875,0,0,672,TPE10785,158,2020-06-22,07:14:56
9,介壽國中,TPE38900,0,0,672,TPE10785,503,2020-06-22,07:14:56
10,臺北市區監理所(光復),TPE38910,0,1,672,TPE10785,1216,2020-06-22,07:14:56
11,喬治商職,TPE38917,0,1,672,TPE10785,432,2020-06-22,07:14:56
12,尖山腳,TPE191880,1,0,672區,TPE16169,662,2020-06-22,07:14:56
13,中正環河路口,TPE59116,1,0,672區,TPE16169,363,2020-06-22,07:14:56
14,秀朗國小,TPE59136,1,1,672區,TPE16169,3457,2020-06-22,07:14:56
15,捷運國父紀念館站(光復),TPE38911,0,1,672,TPE10785,1289,2020-06-22,07:14:56
16,南京敦化路口(小巨蛋),TPE38897,0,0,672,TPE10785,270,2020-06-22,07:14:56
17,捷運古亭站(和平),TPE38881,0,0,672,TPE10785,1106,2020-06-22,07:14:56
18,經建新村,TPE59121,1,0,672區,TPE16169,892,2020-06-22,07:14:56
19,景平路景德街口,TPE38865,1,0,672,TPE10785,--,2020-06-22,07:14:56
20,南京新村,TPE38908,0,1,672,TPE10785,953,2020-06-22,07:14:56
21,臺大癌醫(基隆路),TPE38921,0,1,672,TPE10785,73,2020-06-22,07:14:56
22,永元路,TPE59135,1,1,672區,TPE16169,3367,2020-06-22,07:14:56
23,得和路,TPE38927,0,1,672,TPE10785,732,2020-06-22,07:14:56
24,尖山腳,TPE191879,1,0,672,TPE10785,--,2020-06-22,07:14:56
25,得和路,TPE38872,0,0,672,TPE10785,243,2020-06-22,07:14:56
26,捷運台電大樓站,TPE38878,0,0,672,TPE10785,868,2020-06-22,07:14:56
27,捷運秀朗橋站,TPE38936,0,1,672,TPE10785,1294,2020-06-22,07:14:56
28,中正環河路口,TPE59147,1,1,672區,TPE16169,4411,2020-06-22,07:14:56
29,捷運秀朗橋站,TPE38863,1,0,672,TPE10785,--,2020-06-22,07:14:56
30,秀朗國小,TPE38873,0,0,672,TPE10785,304,2020-06-22,07:14:56
31,捷運景平站,TPE38866,1,0,672,TPE10785,--,2020-06-22,07:14:56
32,福和橋(林森路),TPE59134,1,1,672區,TPE16169,3264,2020-06-22,07:14:56
33,南勢角(景平路),TPE59141,1,1,672區,TPE16169,3802,2020-06-22,07:14:56
34,永元路,TPE59127,1,0,672區,TPE16169,1590,2020-06-22,07:14:56
35,國父紀念館,TPE38912,0,1,672,TPE10785,63,2020-06-22,07:14:56
36,中興二村,TPE38929,0,1,672,TPE10785,897,2020-06-22,07:14:56
37,和平高中,TPE38919,0,1,672,TPE10785,685,2020-06-22,07:14:56
38,長壽公園,TPE38906,0,1,672,TPE10785,852,2020-06-22,07:14:56
39,捷運南京復興站,TPE38895,0,0,672,TPE10785,52,2020-06-22,07:14:56
40,捷運景平站,TPE59120,1,0,672區,TPE16169,820,2020-06-22,07:14:56
41,秀朗國小,TPE38926,0,1,672,TPE10785,701,2020-06-22,07:14:56
42,捷運秀朗橋站,TPE59146,1,1,672區,TPE16169,4092,2020-06-22,07:14:56
43,中正環河路口,TPE38857,1,0,672,TPE10785,--,2020-06-22,07:14:56
44,仁愛新生路口,TPE38888,0,0,672,TPE10785,83,2020-06-22,07:14:56
45,羅斯福金門街口,TPE38880,0,0,672,TPE10785,939,2020-06-22,07:14:56
46,智光商職,TPE59140,1,1,672區,TPE16169,3719,2020-06-22,07:14:56
47,公館,TPE59133,1,1,672區,TPE16169,2954,2020-06-22,07:14:56
48,光華商場,TPE38890,0,0,672,TPE10785,248,2020-06-22,07:14:56
49,中正環河路口,TPE38942,0,1,672,TPE10785,1578,2020-06-22,07:14:56
