start,end,cost,route,direction,start_stop,Stops,length
"121.45139723, 25.0230093539","121.451991024, 25.0260352322",0.004721452962975,"307","0","1",1_2,558.02
"121.451991024, 25.0260352322","121.454258887, 25.0234201289",0.004856143784067,"307","0","2",2_3,562.06
"121.454258887, 25.0234201289","121.45470329, 25.0206835958",0.002812055442514,"307","0","3",3_4,316.52
"121.45470329, 25.0206835958","121.455441731, 25.019118643",0.001695108205185,"307","0","4",4_5,192.63
"121.455441731, 25.019118643","121.456352948, 25.0171474969",0.002128381359341,"307","0","5",5_6,241.74
"121.456352948, 25.0171474969","121.456475332, 25.0149861985",0.002240514468387,"307","0","6",6_7,252.61
"121.456475332, 25.0149861985","121.456194213, 25.0127405113",0.002249283928693,"307","0","7",7_8,251.96
"121.456194213, 25.0127405113","121.456985885, 25.0109920776",0.003641065830968,"307","0","8",8_9,430.81
"121.456985885, 25.0109920776","121.458502222, 25.0091155937",0.002789441091898,"307","0","9",9_10,326.65
"121.458502222, 25.0091155937","121.460801853, 25.0134113488",0.007404733084676,"307","0","10",10_11,865.82
"121.460801853, 25.0134113488","121.462660056, 25.0128908666",0.002877901004170,"307","0","11",11_12,338.31
"121.462660056, 25.0128908666","121.464466167, 25.0119021655",0.002249948991126,"307","0","12",12_13,265.48
"121.464466167, 25.0119021655","121.465231066, 25.0096143501",0.002588779771429,"307","0","13",13_14,296.09
"121.465231066, 25.0096143501","121.465859904, 25.0084438133",0.001825758517215,"307","0","14",14_15,214.63
"121.465859904, 25.0084438133","121.468233013, 25.0075677078",0.002321815874191,"307","0","15",15_16,281.60
"121.468233013, 25.0075677078","121.470429732, 25.0067889408",0.002137408936887,"307","0","16",16_17,259.45
"121.470429732, 25.0067889408","121.473037009, 25.0062476858",0.002429626119884,"307","0","17",17_18,296.92
"121.473037009, 25.0062476858","121.476161681, 25.0057589135",0.002875121029658,"307","0","18",18_19,352.09
"121.476161681, 25.0057589135","121.478659227, 25.0058012111",0.002302595996214,"307","0","19",19_20,281.89
"121.478659227, 25.0058012111","121.480303357, 25.0048822206",0.002281211692088,"307","0","20",20_21,268.71
"121.480303357, 25.0048822206","121.480702788, 25.0039795535",0.000968515917227,"307","0","21",21_22,109.88
"121.480702788, 25.0039795535","121.481220026, 25.0006039354",0.003448190754485,"307","0","22",22_23,387.69
"121.481220026, 25.0006039354","121.481249039, 24.9982659018",0.002326809973670,"307","0","23",23_24,260.30
"121.481249039, 24.9982659018","121.48102228, 24.995787884",0.002476486304755,"307","0","24",24_25,277.28
"121.48102228, 24.995787884","121.482857151, 24.9955994898",0.002657336934306,"307","0","25",25_26,315.78
"121.482857151, 24.9955994898","121.484428421, 24.9961815755",0.001599646300269,"307","0","26",26_27,193.01
"121.484428421, 24.9961815755","121.490382238, 24.9962914667",0.005402204970266,"307","0","27",27_28,663.06
"121.490382238, 24.9962914667","121.492311687, 24.9965923667",0.001777733534200,"307","0","28",28_29,217.64
"121.492311687, 24.9965923667","121.495117987, 24.9982201693",0.003045076145269,"307","0","29",29_30,364.22
"121.495117987, 24.9982201693","121.496377013, 24.9996709691",0.001869887628350,"307","0","30",30_31,217.33
"121.496377013, 24.9996709691","121.49681863, 25.0018787874",0.002502781199076,"307","0","31",31_32,286.31
"121.49681863, 25.0018787874","121.496678572, 25.0029973902",0.001120370137706,"307","0","32",32_33,125.50
"121.496678572, 25.0029973902","121.497681274, 25.0198853301",0.017479585626690,"307","0","33",33_34,1969.86
"121.497681274, 25.0198853301","121.499819774, 25.0233367296",0.003943994980921,"307","0","34",34_35,451.98
"121.499819774, 25.0233367296","121.500456497, 25.025049732",0.001816242314129,"307","0","35",35_36,205.59
"121.500456497, 25.025049732","121.500576327, 25.0287378131",0.003672075994321,"307","0","36",36_37,410.84
"121.500576327, 25.0287378131","121.500599805, 25.0308055197",0.002058355401294,"307","0","37",37_40,230.28
"121.500599805, 25.0308055197","121.502548423, 25.0311876107",0.002112649920591,"307","0","40",40_41,255.62
"121.502548423, 25.0311876107","121.504931555, 25.0326913482",0.003050502007745,"307","0","41",41_42,360.60
"121.504931555, 25.0326913482","121.506673566, 25.0362883042",0.003926999074846,"307","0","42",42_43,446.81
"121.506673566, 25.0362883042","121.508267959, 25.0417352609",0.005609667537332,"307","0","43",43_44,631.80
"121.508267959, 25.0417352609","121.509376401, 25.0456974874",0.004069145473572,"307","0","44",44_45,458.05
"121.509376401, 25.0456974874","121.515689184, 25.0465625196",0.007516875792563,"307","0","45",45_46,894.68
"121.515689184, 25.0465625196","121.521508366, 25.044830631",0.005875508351965,"307","0","46",46_47,714.34
"121.521508366, 25.044830631","121.522291905, 25.0437813581",0.001766292063911,"307","0","47",47_48,207.94
"121.522291905, 25.0437813581","121.52392766, 25.0467740989",0.003935896909016,"307","0","48",48_49,449.51
"121.52392766, 25.0467740989","121.524295454, 25.0481246178",0.001384883189252,"307","0","49",49_50,155.85
"121.524295454, 25.0481246178","121.525022528, 25.0505699536",0.002526959345805,"307","0","50",50_51,284.76
"121.525022528, 25.0505699536","121.529854935, 25.0519849899",0.005495851210518,"307","0","51",51_52,659.79
"121.529854935, 25.0519849899","121.532729956, 25.0519386944",0.002606571039635,"307","0","52",52_53,320.09
"121.532729956, 25.0519386944","121.536272301, 25.0519074463",0.003211219171116,"307","0","53",53_54,394.35
"121.536272301, 25.0519074463","121.540168207, 25.0518502784",0.003532014840480,"307","0","54",54_55,433.74
"121.540168207, 25.0518502784","121.543560994, 25.0517846674",0.003076151639598,"307","0","55",55_56,377.75
"121.543560994, 25.0517846674","121.548352264, 25.0516595439",0.004344938637689,"307","0","56",56_57,533.54
"121.548352264, 25.0516595439","121.554737301, 25.0515466306",0.005788955635432,"307","0","57",57_58,710.89
"121.554737301, 25.0515466306","121.560446674, 25.0514001563",0.005177443330982,"307","0","58",58_59,635.77
"121.560446674, 25.0514001563","121.566535661, 25.0512662807",0.005521161246660,"307","0","59",59_60,677.99
"121.566535661, 25.0512662807","121.569074847, 25.0511483264",0.002322404782445,"307","0","60",60_61,284.79
"121.569074847, 25.0511483264","121.570331351, 25.0521208891",0.002131052563848,"307","0","61",61_62,251.07
"121.570331351, 25.0521208891","121.569846837, 25.0550217494",0.002920254719230,"307","0","62",62_63,327.45
"121.569846837, 25.0550217494","121.569357925, 25.0577111433",0.002712665991391,"307","0","63",63_64,304.29
"121.569357925, 25.0577111433","121.567671411, 25.0601667177",0.003317821691989,"307","0","64",64_65,382.59
"121.567671411, 25.0601667177","121.566233037, 25.0624340215",0.002652750794630,"307","0","65",65_66,304.79
"121.566233037, 25.0624340215","121.565679318, 25.0652964844",0.002895413846365,"307","0","66",66_67,324.97
