RouteName,RouteUID,Direction,StopSequence,StopUID,StationID,StopName,StopBoarding,Lat,Lon
672,TPE10785,1,26,TPE38928,3003,中興新村,0,24.99862597,121.5165323
672,TPE10785,1,27,TPE38929,9655,中興二村,0,24.9970684513,121.5152687677
672,TPE10785,1,28,TPE38930,3037,智光商職,0,24.99403299,121.5125768
672,TPE10785,1,29,TPE142282,1001137,南勢角(景平路),0,24.992332,121.512965
672,TPE10785,1,30,TPE38933,50848,捷運景平站,-1,24.991961,121.516141
672,TPE10785,1,31,TPE38934,50849,景平路景德街口,0,24.99145231,121.5192959
672,TPE10785,1,32,TPE38936,3099,捷運秀朗橋站,0,24.990204,121.524836
672,TPE10785,1,33,TPE38942,2864,中正環河路口,0,24.990206,121.53405
307,TPE16111,1,1,TPE15294,1000632,莊敬里,0,25.065033,121.565572
307,TPE16111,1,2,TPE15296,1503,新益里,0,25.062286,121.566155
307,TPE16111,1,3,TPE15298,1507,民生國中,-1,25.05966141,121.5679233
307,TPE16111,1,4,TPE15299,1587,新東里,0,25.05789,121.56903
307,TPE16111,1,5,TPE15300,1583,發電所(西松高中),0,25.055269,121.569528
307,TPE16111,1,6,TPE15301,1000221,南松山(塔悠),-1,25.051932,121.570154
307,TPE16111,1,7,TPE15302,1000206,南松山(南京),-1,25.051515,121.569058
307,TPE16111,1,8,TPE15303,1165603388,南京公寓(捷運南京三民),-1,25.0514555109,121.5666502884
307,TPE16111,1,9,TPE15304,16005,南京三民路口,0,25.0515437825,121.5610057934
307,TPE16111,1,10,TPE15305,16006,南京寧安街口,0,25.05165967,121.5555163231
307,TPE16111,1,11,TPE15306,1548,南京敦化路口(小巨蛋),0,25.051793482,121.5495209196
307,TPE16111,1,12,TPE15307,1547,捷運南京復興站,0,25.051885923,121.5444647074
307,TPE16111,1,13,TPE15308,1556,南京龍江路口,0,25.0519637861,121.5407049986
307,TPE16111,1,14,TPE15309,1546,南京建國路口,0,25.0520896888,121.5372713454
307,TPE16111,1,15,TPE15310,16011,捷運松江南京站,0,25.0521144981,121.5333020471
307,TPE16111,1,16,TPE15311,16012,南京吉林路口,0,25.0521129969,121.5303325048
307,TPE16111,1,17,TPE15312,16013,南京林森路口,0,25.0521676118,121.5257174671
307,TPE16111,1,18,TPE15313,1000064,中山市場,-1,25.0512640539,121.5220211277
307,TPE16111,1,19,TPE15314,50688,行政院,0,25.0464844629,121.5197596905
307,TPE16111,1,20,TPE15315,1000082,臺北車站(忠孝),0,25.0465305784,121.5165232609
307,TPE16111,1,21,TPE15316,1000078,中華路北站,0,25.0455115051,121.5091441276
307,TPE16111,1,22,TPE15317,1000079,捷運西門站,0,25.0425165607,121.508266771
307,TPE16111,1,23,TPE15318,1000080,小南門,0,25.0378687908,121.5069037091
307,TPE16111,1,24,TPE15319,1926,聯合醫院和平院區,-1,25.036493361,121.5065075203
307,TPE16111,1,25,TPE15320,4606,大埔街,0,25.0322166212,121.5045966031
307,TPE16111,1,26,TPE15321,1798,莒光派出所,-1,25.03141,121.50298
307,TPE16111,1,27,TPE15322,1811,萬大路,0,25.030744,121.500473
307,TPE16111,1,28,TPE15323,1759,西藏路口,0,25.02899,121.500457
307,TPE16111,1,29,TPE15324,1829,德昌街口,0,25.025125,121.500343
307,TPE16111,1,30,TPE15325,1810,萬大國小,-1,25.024038,121.500101
307,TPE16111,1,31,TPE15326,1766,果菜市場,0,25.0198502695,121.4974643786
307,TPE16111,1,32,TPE15327,1000243,華中橋,0,25.00318965,121.4965023
307,TPE16111,1,33,TPE201703,1165605282,捷運中和站,0,25.00192,121.496599
307,TPE16111,1,34,TPE15328,10003,連城景平路(暫時裁撤),-1,24.9995896339,121.496156411
307,TPE16111,1,35,TPE15329,10004,中和國稅局,-1,24.99825646,121.4948985
307,TPE16111,1,36,TPE15330,3084,台貿一村,0,24.99673,121.4922543693
307,TPE16111,1,37,TPE15331,10006,連城錦和路口(暫時裁撤),0,24.99645348,121.4902015
307,TPE16111,1,38,TPE15332,10007,連城中正路口,0,24.996296,121.484217
307,TPE16111,1,39,TPE15333,10008,連城路,0,24.9957461676,121.4827856065
307,TPE16111,1,40,TPE15334,3069,中和高中(員山路),0,24.99594707,121.4811434
307,TPE16111,1,41,TPE15335,10009,員山派出所,-1,24.99794083,121.4813853
307,TPE16111,1,42,TPE15336,10010,積穗國中,0,25.0006,121.4813353
307,TPE16111,1,43,TPE15337,10011,員山公園,-1,25.00346806,121.4810458
307,TPE16111,1,44,TPE15338,1165603291,積穗,-1,25.006,121.479
307,TPE16111,1,45,TPE15339,10053,板橋監理站,0,25.00600305,121.4759493
307,TPE16111,1,46,TPE15340,10054,環球購物中心,0,25.00638,121.47349
307,TPE16111,1,47,TPE15382,2688,國泰街口,-1,25.00682585,121.4707676
307,TPE16111,1,48,TPE15383,2681,電信訓練所,0,25.007745,121.468177
307,TPE16111,1,49,TPE15384,4013,民族區運路口,-1,25.00864249,121.4656708
307,TPE16111,1,50,TPE153797,14208,深丘里,0,25.0094647432,121.4653281068
307,TPE16111,1,51,TPE153798,2699,新北市政府(新府路),0,25.01194682,121.4645164
307,TPE16111,1,52,TPE15385,2673,新北板橋公車站,-1,25.012751,121.462545
307,TPE16111,1,53,TPE59444,6187,萬坪公園,0,25.013298,121.460871
307,TPE16111,1,54,TPE15386,60093,北門街,0,25.01123,121.45679
307,TPE16111,1,55,TPE15387,6189,板橋戶政事務所,-1,25.01289423,121.4563231
307,TPE16111,1,56,TPE15388,6190,社后,0,25.015212,121.45665
307,TPE16111,1,57,TPE15389,6191,大庭新村,0,25.0173775,121.4564174
307,TPE16111,1,58,TPE15390,6192,港尾福德宮,0,25.01900577,121.4556607
307,TPE16111,1,59,TPE15391,6193,港尾,0,25.020767,121.454829
307,TPE16111,1,60,TPE15392,1000801,板橋國中(435藝文特區),0,25.023146,121.454392
307,TPE16111,1,61,TPE15394,2588,名來新城(中正路),0,25.02609,121.45466
307,TPE16111,1,62,TPE194689,1165604697,臺北客運板橋前站(藝文),0,25.022995,121.451417
307,TPE16111,0,1,TPE194687,1165604697,臺北客運板橋前站(藝文),0,25.022995,121.451417
307,TPE16111,0,2,TPE194688,1165603914,新月橋,-1,25.026011,121.452011
307,TPE16111,0,3,TPE15198,2624,板橋國中(435藝文特區),0,25.023423,121.454215
307,TPE16111,0,4,TPE15199,20349,港尾,0,25.020666,121.454666
307,TPE16111,0,5,TPE15200,2604,港尾福德宮,0,25.01912514,121.4554555
307,TPE16111,0,6,TPE15201,2556,大庭新村,0,25.01716,121.45638
307,TPE16111,0,7,TPE15202,2599,社后,0,25.014996,121.45642
307,TPE16111,0,8,TPE15203,2614,板橋戶政事務所,-1,25.01274499,121.4561617
307,TPE16111,0,9,TPE15204,60094,北門街,-1,25.010974,121.456972
307,TPE16111,0,10,TPE15205,2613,捷運府中站(府中路),-1,25.009063,121.458467
307,TPE16111,0,11,TPE15206,2650,萬坪公園,0,25.01352,121.460677
307,TPE16111,0,12,TPE15207,70716,新北板橋公車站,-1,25.012906,121.46267
307,TPE16111,0,13,TPE153799,2700,新北市政府(新府路),0,25.0118568,121.4643742
307,TPE16111,0,14,TPE153800,14209,深丘里,0,25.009624,121.465209
307,TPE16111,0,15,TPE15208,2573,民族區運路口,-1,25.00839,121.46584
307,TPE16111,0,16,TPE15209,14235,電信訓練所,0,25.007531,121.46822
307,TPE16111,0,17,TPE15210,6186,國泰街口,-1,25.00677249,121.4704239
307,TPE16111,0,18,TPE15211,3169,環球購物中心,0,25.00622954,121.4730341
307,TPE16111,0,19,TPE15212,3106,板橋監理站,0,25.005749,121.47616
307,TPE16111,0,20,TPE15213,3163,積穗,0,25.005751,121.478674
307,TPE16111,0,21,TPE199119,1165604779,積穗派出所,0,25.004871,121.480278
307,TPE16111,0,22,TPE15214,3122,員山公園,-1,25.00395,121.480636
307,TPE16111,0,23,TPE15215,3164,積穗國中,0,25.000604,121.481193
307,TPE16111,0,24,TPE15216,3123,員山派出所,0,24.99827083,121.4810959
307,TPE16111,0,25,TPE15217,3070,中和高中(員山路),0,24.99579873,121.4809504
307,TPE16111,0,26,TPE15218,3135,連城路,0,24.99563856,121.4828412
307,TPE16111,0,27,TPE15219,3124,連城中正路口,0,24.996128,121.484429
307,TPE16111,0,28,TPE15220,3052,連城錦和路口(暫時裁撤),0,24.99626066,121.4903845
307,TPE16111,0,29,TPE15222,10005,台貿一村,0,24.9965568353,121.4923203993
307,TPE16111,0,30,TPE15224,3080,中和國稅局,-1,24.99819818,121.4951329
307,TPE16111,0,31,TPE15226,3134,連城景平路(暫時裁撤),-1,24.9996352583,121.4964284011
307,TPE16111,0,32,TPE201702,1165605281,捷運中和站,0,25.001888,121.496889
307,TPE16111,0,33,TPE15228,50818,華中橋,0,25.00299868,121.4966902
307,TPE16111,0,34,TPE15230,4622,果菜市場,-1,25.01987,121.497706
307,TPE16111,0,35,TPE15232,4640,萬大國小,0,25.0232906952,121.4998941008
307,TPE16111,0,36,TPE15234,1830,德昌街口,0,25.025045,121.500485
307,TPE16111,0,37,TPE15236,4639,西藏路口,0,25.028737,121.500599
307,TPE16111,0,38,TPE15238,4638,萬大路,0,25.0308055,121.500635
307,TPE16111,0,39,TPE15240,1797,莒光派出所,-1,25.03113,121.50255
307,TPE16111,0,40,TPE15242,1737,大埔街,0,25.0326841167,121.5049450186
307,TPE16111,0,41,TPE15244,4607,聯合醫院和平院區,-1,25.036268,121.506743
307,TPE16111,0,42,TPE15246,1793,捷運西門站,-1,25.0417300584,121.5082859006
307,TPE16111,0,43,TPE15248,1744,中華路北站,0,25.0456964942,121.509380726
307,TPE16111,0,44,TPE15250,1882,臺北車站(忠孝),0,25.0465635497,121.5156894389
307,TPE16111,0,45,TPE15252,1000498,行政院,0,25.04483077,121.5215079
307,TPE16111,0,46,TPE15254,1937,青島林森路口,0,25.0437303889,121.5222785401
307,TPE16111,0,47,TPE15256,7604,北平林森路口,0,25.046759,121.523978
307,TPE16111,0,48,TPE15258,7614,華山公園,0,25.04809523,121.524405
307,TPE16111,0,49,TPE15260,1272,林森北路一,-1,25.05059,121.52495
307,TPE16111,0,50,TPE15262,16023,南京吉林路口,0,25.0520078099,121.5298550259
307,TPE16111,0,51,TPE15264,16024,捷運松江南京站,0,25.0519697274,121.5327305346
307,TPE16111,0,52,TPE15266,50005,南京建國路口,0,25.0519389516,121.536272505
307,TPE16111,0,53,TPE15268,50002,南京龍江路口,0,25.051888307,121.5401689309
307,TPE16111,0,54,TPE15270,50004,捷運南京復興站,0,25.051804005,121.54356144
307,TPE16111,0,55,TPE15272,50001,南京敦化路口(小巨蛋),0,25.0517035084,121.5483534751
307,TPE16111,0,56,TPE15274,16029,南京寧安街口,0,25.0515488433,121.5547373445
307,TPE16111,0,57,TPE15276,16030,南京三民路口,0,25.0514455869,121.560447805
307,TPE16111,0,58,TPE15278,1165603387,南京公寓(捷運南京三民),-1,25.0512559293,121.5665356833
307,TPE16111,0,59,TPE15280,1557,南松山(南京),-1,25.051079,121.569075
307,TPE16111,0,60,TPE15282,1000216,南松山(塔悠),-1,25.052118,121.570312
307,TPE16111,0,61,TPE15284,1000217,發電所(西松高中),0,25.055027,121.569875
307,TPE16111,0,62,TPE15286,1000218,新東里,0,25.0577179708,121.5693937693
307,TPE16111,0,63,TPE15290,1000026,民生國中,-1,25.06018904,121.5676949
307,TPE16111,0,64,TPE15292,1504,新益里,0,25.062445,121.566269
307,TPE16111,0,65,TPE15288,1000810,莊敬里,0,25.06530387,121.5657277
307,TPE16111,1,1,TPE15294,1000632,莊敬里,0,25.065033,121.565572
307,TPE16111,1,2,TPE15296,1503,新益里,0,25.062286,121.566155
