start,end,cost,route,direction,start_stop,Stops,length
"121.565597338, 25.0650367495","121.566155396, 25.0622861188",0.002786756203537,"307","1","1",1_2,312.87
"121.566155396, 25.0622861188","121.567942985, 25.0596794455",0.003105624457775,"307","1","2",2_3,357.77
"121.567942985, 25.0596794455","121.569162182, 25.0579152899",0.002130553546013,"307","1","3",3_4,245.78
"121.569162182, 25.0579152899","121.569610977, 25.0552847508",0.002649274317039,"307","1","4",4_5,297.09
"121.569610977, 25.0552847508","121.570072621, 25.0519119314",0.003383125382404,"307","1","5",5_6,379.08
"121.570072621, 25.0519119314","121.569054904, 25.0514185111",0.001498082745106,"307","1","6",6_7,178.56
"121.569054904, 25.0514185111","121.566650061, 25.0514356766",0.002183803819010,"307","1","7",7_8,268.10
"121.566650061, 25.0514356766","121.561006377, 25.0515665253",0.005117534399395,"307","1","8",8_9,628.42
"121.561006377, 25.0515665253","121.555516993, 25.0516939784",0.004977618081450,"307","1","9",9_10,611.24
"121.555516993, 25.0516939784","121.549520981, 25.0517997925",0.005436343958470,"307","1","10",10_11,667.59
"121.549520981, 25.0517997925","121.5444655, 25.0519222656",0.004584452232458,"307","1","11",11_12,562.96
"121.5444655, 25.0519222656","121.540705648, 25.0519999867",0.003409071056672,"307","1","12",12_13,418.63
"121.540705648, 25.0519999867","121.537270982, 25.0520763293",0.003114380244512,"307","1","13",13_14,382.44
"121.537270982, 25.0520763293","121.53330196, 25.052108701",0.003598006597789,"307","1","14",14_15,441.85
"121.53330196, 25.052108701","121.530332696, 25.0521531203",0.002691904786870,"307","1","15",15_16,330.57
"121.530332696, 25.0521531203","121.525717732, 25.0521899971",0.004183503711526,"307","1","16",16_17,513.76
"121.525717732, 25.0521899971","121.522108367, 25.0512232003",0.004112023063069,"307","1","17",17_18,493.53
"121.522108367, 25.0512232003","121.51982396, 25.0464558864",0.005176969329848,"307","1","18",18_19,588.57
"121.51982396, 25.0464558864","121.51652411, 25.0465339014",0.003527455532198,"307","1","19",19_20,424.55
"121.51652411, 25.0465339014","121.509113459, 25.0455199388",0.009082050430288,"307","1","20",20_21,1080.72
"121.509113459, 25.0455199388","121.508278037, 25.0425133449",0.003086237398858,"307","1","21",21_22,347.38
"121.508278037, 25.0425133449","121.506901068, 25.0378695597",0.004786788648534,"307","1","22",22_23,539.21
"121.506901068, 25.0378695597","121.506503928, 25.0364942287",0.001416688740888,"307","1","23",23_24,159.56
"121.506503928, 25.0364942287","121.504600179, 25.0322146841",0.004694213799367,"307","1","24",24_25,534.43
"121.504600179, 25.0322146841","121.502983035, 25.0312779205",0.002035483186548,"307","1","25",25_26,241.09
"121.502983035, 25.0312779205","121.500512539, 25.0307428533",0.002691172595579,"307","1","26",26_27,325.36
"121.500512539, 25.0307428533","121.500461699, 25.0289898637",0.001744997855338,"307","1","27",27_30,195.22
"121.500461699, 25.0289898637","121.500379297, 25.0251236652",0.003848127448799,"307","1","30",30_31,430.50
"121.500379297, 25.0251236652","121.500108326, 25.0240343663",0.001116618453033,"307","1","31",31_32,125.64
"121.500108326, 25.0240343663","121.497522981, 25.0198146355",0.004810577111937,"307","1","32",32_33,551.09
"121.497522981, 25.0198146355","121.496561854, 25.0031961533",0.017197908797254,"307","1","33",33_34,1938.06
"121.496561854, 25.0031961533","121.496700079, 25.001931048",0.001265118780326,"307","1","34",34_35,141.67
"121.496700079, 25.001931048","121.496193696, 24.9995639768",0.002668932839872,"307","1","35",35_36,305.07
"121.496193696, 24.9995639768","121.49493075, 24.9982085374",0.001797949901585,"307","1","36",36_37,209.60
"121.49493075, 24.9982085374","121.492261193, 24.9967059375",0.002875417440940,"307","1","37",37_38,344.26
"121.492261193, 24.9967059375","121.490207701, 24.9963851855",0.001892141180757,"307","1","38",38_39,231.65
"121.490207701, 24.9963851855","121.484217508, 24.9962721172",0.005435923408215,"307","1","39",39_40,667.19
"121.484217508, 24.9962721172","121.482808368, 24.9956925983",0.001452729990376,"307","1","40",40_41,174.97
"121.482808368, 24.9956925983","121.481134873, 24.9959484856",0.002559649650118,"307","1","41",41_42,303.52
"121.481134873, 24.9959484856","121.481321235, 24.997941665",0.001992816733208,"307","1","42",42_43,223.15
"121.481321235, 24.997941665","121.481297007, 25.0005994816",0.002644964689100,"307","1","43",43_44,295.89
"121.481297007, 25.0005994816","121.481021746, 25.0034571749",0.002887471428908,"307","1","44",44_45,323.98
"121.481021746, 25.0034571749","121.478989891, 25.0060328849",0.003683611218480,"307","1","45",45_46,425.52
"121.478989891, 25.0060328849","121.475939265, 25.0059458563",0.002841021530962,"307","1","46",46_47,347.24
"121.475939265, 25.0059458563","121.473477596, 25.0062933313",0.002259590469882,"307","1","47",47_48,276.82
"121.473477596, 25.0062933313","121.47075041, 25.0067776364",0.002521034335848,"307","1","48",48_49,308.49
"121.47075041, 25.0067776364","121.468161251, 25.007701424",0.002521387258816,"307","1","49",49_50,306.02
"121.468161251, 25.007701424","121.465657705, 25.0086062567",0.002442226759668,"307","1","50",50_51,296.34
"121.465657705, 25.0086062567","121.465270914, 25.0094912593",0.001355462741282,"307","1","51",51_52,159.13
"121.465270914, 25.0094912593","121.46451067, 25.0119436105",0.002775955653884,"307","1","52",52_53,317.47
"121.46451067, 25.0119436105","121.462435724, 25.0127900726",0.002610418095079,"307","1","53",53_54,307.55
"121.462435724, 25.0127900726","121.460687283, 25.0134462427",0.003255984943683,"307","1","54",54_55,381.38
"121.460687283, 25.0134462427","121.456691487, 25.0112857871",0.005413590120569,"307","1","55",55_56,633.04
"121.456691487, 25.0112857871","121.456280942, 25.0128996094",0.001896423989637,"307","1","56",56_57,217.19
"121.456280942, 25.0128996094","121.45659461, 25.0152218391",0.002328565696074,"307","1","57",57_58,260.90
"121.45659461, 25.0152218391","121.456353399, 25.0173482752",0.002215122789602,"307","1","58",58_59,249.97
"121.456353399, 25.0173482752","121.455607603, 25.018981524",0.001760302484851,"307","1","59",59_60,199.87
"121.455607603, 25.018981524","121.454777195, 25.0207422369",0.001907015955599,"307","1","60",60_61,216.71
"121.454777195, 25.0207422369","121.454331538, 25.0231502842",0.002482843228378,"307","1","61",61_62,279.64
"121.454331538, 25.0231502842","121.454651682, 25.0260918119",0.002980182808622,"307","1","62",62_63,334.32
"121.454651682, 25.0260918119","121.45139723, 25.0230093539",0.009150752280008,"307","1","63",63_64,1078.91
